id,autotrader_listing_id,dealer_id,make_id,model_id,trim_id,registration,year,manufacture_date,first_registration_date,engine_size,engine_power,engine_torque,fuel_type_id,transmission_type_id,drivetrain,mileage,mileage_unit,condition_grade,previous_owners,service_history,mot_expiry,tax_expiry,price,currency,price_type,trade_price,finance_available,part_exchange_accepted,title,description,listing_type,availability_status,featured,urgent_sale,listed_at,last_updated,sold_at,expires_at,color_id
11,AT123461,1,4,10,10,GH67 RST,2021,2021-02-18,2021-03-01,1.8,122,142,4,3,FWD,18000,Miles,Excellent,1,Full,2025-03-01,2025-03-01,21950,GBP,Fixed,20500,true,true,2021 Toyota Corolla 1.8 Hybrid Icon,"Excellent hybrid, low running costs, Toyota reliability.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,669
2,AT1234571,1,1,2,1,BC23 FGH,2019,2019-06-10,2019-07-01,2,190,320,2,2,FWD,35000,Miles,Very Good,2,Full,2024-07-01,2024-07-01,24950,GBP,Negotiable,23000,true,true,2019 Audi A4 2.0 TDI Sport,"Well maintained, recent service, excellent fuel economy.",Used,Available,false,false,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,413
23,AT123473,1,1,1,2,EF89 BCD,2021,2021-01-12,2021-02-01,2,190,320,1,2,FWD,19000,Miles,Excellent,1,Full,2025-02-01,2025-02-01,29950,GBP,Fixed,28000,true,true,2021 Audi A3 40 TFSI S Line,"Premium compact, latest generation, immaculate.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
24,AT123474,2,2,5,6,GH90 EFG,2017,2017-07-20,2017-08-01,3,340,450,1,2,RWD,68000,Miles,Good,2,Full,2024-08-01,2024-08-01,24950,GBP,Negotiable,22500,true,true,2017 BMW 5 Series M340i xDrive,"Performance executive saloon, well maintained.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,157
20,AT123470,2,4,11,1,YZ56 STU,2020,2020-12-03,2020-12-20,2.5,218,221,4,3,AWD,26000,Miles,Very Good,1,Full,2024-12-20,2024-12-20,32950,GBP,Fixed,30500,true,true,2020 Toyota RAV4 2.5 Hybrid AWD Design,"Reliable hybrid SUV, excellent build quality.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,797
48,AT123498,2,4,11,1,CD34 YZA,2019,2019-07-16,2019-08-01,2.5,218,221,4,3,AWD,49000,Miles,Good,2,Full,2024-08-01,2024-08-01,29950,GBP,Negotiable,27500,true,true,2019 Toyota RAV4 2.5 Hybrid AWD Icon,"Reliable hybrid SUV, practical family car.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,29
51,AT123501,1,5,15,1,IJ67 HIJ,2021,2021-01-08,2021-01-25,1.5,150,250,1,2,FWD,24000,Miles,Excellent,1,Full,2025-01-25,2025-01-25,28950,GBP,Fixed,27000,true,true,2021 Volkswagen Tiguan 1.5 TSI R-Line,"Sporty SUV, excellent build quality.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,925
47,AT123497,1,3,9,1,AB23 VWX,2020,2020-01-30,2020-02-15,2,190,400,2,2,AWD,37000,Miles,Very Good,1,Full,2024-02-15,2024-02-15,26950,GBP,Fixed,25000,true,true,2020 Ford Kuga 2.0 EcoBlue ST-Line X,"Premium SUV spec, all-wheel drive.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
6,AT1234561,1,2,4,5,AB12 CDE,2020,2020-01-15,2020-02-01,2,184,300,1,1,RWD,25000,Miles,Excellent,1,Full,2024-02-01,2024-02-01,28950,GBP,Fixed,27000,true,true,2020 BMW 3 Series 320d M Sport,"Immaculate condition, full service history, one owner from new.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
7,AT123457,1,1,2,1,BC23 FGH,2019,2019-06-10,2019-07-01,2,190,320,2,2,FWD,35000,Miles,Very Good,2,Full,2024-07-01,2024-07-01,24950,GBP,Negotiable,23000,true,true,2019 Audi A4 2.0 TDI Sport,"Well maintained, recent service, excellent fuel economy.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,925
